Respondent,Professional,FormalEducation,MajorUndergrad,HomeRemote,CompanySize,CompanyType,YearsProgram,YearsCodedJob,CareerSatisfaction,JobSatisfaction,TabsSpaces,IDE,Methodology,Gender,HighestEducationParents,Race,Salary
1879,Professional developer,Bachelor's degree,A business discipline,About half the time,"10,000 or more employees",Government agency or public school/university,20 or more years,14 to 15 years,6,6,Tabs,Notepad++; Eclipse; IntelliJ,Agile; Scrum; Pair,Male,A bachelor's degree,White or of European descent,8.60E+04
1884,Professional developer,Bachelor's degree,Fine arts or performing arts,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",2 to 3 years,1 to 2 years,6,5,Spaces,Sublime Text; Vim,Agile; Scrum; Kanban,Male,A doctoral degree,White or of European descent,1.29E+05
1887,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",8 to 9 years,5 to 6 years,8,7,Spaces,Vim; Visual Studio; Visual Studio Code,Agile; Scrum; Extreme; Pair; Kanban,Male,A bachelor's degree,White or of European descent,6.20E+04
1890,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,Non-profit/non-governmental organization or private school/university,11 to 12 years,6 to 7 years,10,10,Spaces,Notepad++; Eclipse; IntelliJ; PyCharm; Visual Studio Code,NA,Male,A master's degree,White or of European descent,1.40E+05
1899,Professional developer,Bachelor's degree,A business discipline,A few days each month,Fewer than 10 employees,"Privately-held limited company, not in startup mode",5 to 6 years,5 to 6 years,6,4,Both,NA,NA,NA,NA,NA,6.00E+04
1908,Professional developer,Some college/university study without earning a bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),10 to 19 employees,"Sole proprietorship or partnership, not in startup mode",12 to 13 years,3 to 4 years,6,6,Tabs,Notepad++; Vim; Visual Studio Code; Xcode,Waterfall; Agile; Scrum; Pair; Kanban,Male,"Some college/university study, no bachelor's degree",White or of European descent,5.00E+04
1910,Professional developer,Some college/university study without earning a bachelor's degree,I never declared a major,"Less than half the time, but at least one day each week","10,000 or more employees",Publicly-traded corporation,17 to 18 years,16 to 17 years,7,6,Tabs,Visual Studio; Visual Studio Code,Agile; Scrum; Kanban,Male,High school,White or of European descent,1.28E+05
1919,Professional developer,Master's degree,A non-computer-focused engineering discipline,It's complicated,100 to 499 employees,Government agency or public school/university,10 to 11 years,9 to 10 years,9,9,Spaces,Atom; Vim,NA,Male,A master's degree,White or of European descent,7800
1937,Professional developer,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",100 to 499 employees,Publicly-traded corporation,12 to 13 years,11 to 12 years,8,8,Spaces,Emacs; Vim; IPython / Jupyter; Visual Studio; Visual Studio Code,Waterfall; Agile; Lean; Scrum; Extreme; Pair; Mob; Kanban; Domain-driven design,Male,A bachelor's degree,White or of European descent,1.30E+05
1940,Professional developer,Some college/university study without earning a bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",2 to 3 years,1 to 2 years,7,7,Tabs,Sublime Text; Visual Studio; Visual Studio Code,Agile; Scrum; Kanban,Male,"Some college/university study, no bachelor's degree",White or of European descent,4.50E+04
1954,Professional developer,Bachelor's degree,A natural science,A few days each month,"1,000 to 4,999 employees",Non-profit/non-governmental organization or private school/university,12 to 13 years,5 to 6 years,9,5,Spaces,Notepad++; Visual Studio; Visual Studio Code,NA,Female,A bachelor's degree,White or of European descent,5.00E+04
1969,Professional developer,Some college/university study without earning a bachelor's degree,Computer science or software engineering,A few days each month,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",4 to 5 years,1 to 2 years,8,9,Spaces,Vim,NA,Male,A doctoral degree,White or of European descent,7.50E+04
1970,Professional developer,Some college/university study without earning a bachelor's degree,Computer science or software engineering,It's complicated,I don't know,Government agency or public school/university,20 or more years,20 or more years,9,8,Spaces,Visual Studio,Agile; Extreme; Pair,Male,A bachelor's degree,NA,9.80E+04
1980,Professional developer,Master's degree,Computer science or software engineering,Never,I don't know,Government agency or public school/university,7 to 8 years,2 to 3 years,8,8,Tabs,Visual Studio,NA,Male,A master's degree,Hispanic or Latino/Latina,4.80E+04
1982,Professional developer,Some college/university study without earning a bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",20 or more years,20 or more years,9,6,Tabs,TextMate; Visual Studio; Xcode,NA,Male,A bachelor's degree,White or of European descent,1.45E+05
1983,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,"Sole proprietorship or partnership, not in startup mode",2 to 3 years,Less than a year,7,9,Tabs,Emacs; IntelliJ; IPython / Jupyter; PyCharm; Visual Studio,Agile; Scrum; Pair,Male,A professional degree,White or of European descent,5.50E+04
1986,Professional developer,Bachelor's degree,Computer science or software engineering,It's complicated,I don't know,Government agency or public school/university,20 or more years,8 to 9 years,7,8,Spaces,Visual Studio,NA,Male,"Some college/university study, no bachelor's degree",White or of European descent,3.80E+04
2021,Professional developer,Some college/university study without earning a bachelor's degree,I never declared a major,All or almost all the time (I'm full-time remote),10 to 19 employees,"Privately-held limited company, not in startup mode",12 to 13 years,11 to 12 years,5,3,Spaces,Sublime Text; Vim,Agile; Scrum; Extreme; Pair; Kanban,Male,A bachelor's degree,White or of European descent,9.50E+04
2028,Professional developer,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",100 to 499 employees,"Privately-held limited company, not in startup mode",9 to 10 years,4 to 5 years,10,8,Spaces,Atom; Vim; PyCharm,Agile; Scrum; Kanban; Domain-driven design,Male,A doctoral degree,NA,8.90E+04
2039,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,20 or more years,4 to 5 years,10,8,Spaces,Sublime Text; Vim; Eclipse,Agile; Scrum; Extreme; Pair; Domain-driven design,Male,A bachelor's degree,White or of European descent,7.50E+04
2040,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,"1,000 to 4,999 employees",Publicly-traded corporation,10 to 11 years,4 to 5 years,7,7,Spaces,Notepad++; Visual Studio; Visual Studio Code,Agile; Scrum,Male,A professional degree,White or of European descent,66200
2053,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,"1,000 to 4,999 employees",Publicly-traded corporation,18 to 19 years,12 to 13 years,8,8,Spaces,Vim; Android Studio; Xcode,NA,Male,A bachelor's degree,East Asian,1.50E+05
2055,Professional developer,Some college/university study without earning a bachelor's degree,Fine arts or performing arts,"Less than half the time, but at least one day each week","5,000 to 9,999 employees",Publicly-traded corporation,20 or more years,16 to 17 years,9,8,Spaces,IntelliJ; Visual Studio; Visual Studio Code; Xcode,Waterfall; Agile; Scrum; Pair; Kanban,Male,A doctoral degree,White or of European descent,9.00E+04
2064,Professional developer,Master's degree,Something else,A few days each month,100 to 499 employees,Venture-funded startup,11 to 12 years,6 to 7 years,9,9,Spaces,Vim,NA,Male,A bachelor's degree,White or of European descent,1.15E+05
2066,Professional developer,Master's degree,Computer engineering or electrical/electronics engineering,"Less than half the time, but at least one day each week","1,000 to 4,999 employees","Privately-held limited company, not in startup mode",20 or more years,20 or more years,4,3,NA,NA,NA,NA,NA,NA,1.50E+05
2079,Professional developer,Bachelor's degree,A non-computer-focused engineering discipline,A few days each month,10 to 19 employees,Pre-series A startup,6 to 7 years,5 to 6 years,8,8,Spaces,Sublime Text,NA,Male,"Some college/university study, no bachelor's degree",White or of European descent,7.20E+04
2085,Professional developer,Master's degree,Computer engineering or electrical/electronics engineering,A few days each month,10 to 19 employees,"Privately-held limited company, not in startup mode",13 to 14 years,4 to 5 years,9,9,Spaces,Notepad++; Xcode,NA,Male,A master's degree,White or of European descent,6.30E+04
2091,Professional developer,Bachelor's degree,Computer programming or Web development,Never,10 to 19 employees,"Privately-held limited company, not in startup mode",10 to 11 years,5 to 6 years,7,6,Both,Sublime Text; Visual Studio,Agile; Scrum,NA,NA,NA,9.60E+04
2093,Professional developer,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week","5,000 to 9,999 employees",Publicly-traded corporation,20 or more years,3 to 4 years,6,7,Spaces,Sublime Text; Vim; Eclipse; IntelliJ,Agile; Scrum; Kanban,Male,A bachelor's degree,White or of European descent,8.40E+04
2095,Professional developer,Bachelor's degree,"Information technology, networking, or system administration","Less than half the time, but at least one day each week",Fewer than 10 employees,"Privately-held limited company, not in startup mode",10 to 11 years,5 to 6 years,10,10,Spaces,Vim,Agile; Scrum; Pair,Male,A bachelor's degree,White or of European descent,1.35E+05
2101,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,Venture-funded startup,4 to 5 years,3 to 4 years,10,10,Spaces,Sublime Text; IntelliJ; PyCharm,NA,Male,A master's degree,White or of European descent,7.20E+04
2104,Professional developer,Some college/university study without earning a bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",6 to 7 years,2 to 3 years,8,9,Spaces,Emacs; IntelliJ,Agile; Scrum; Pair,Male,Primary/elementary school,White or of European descent,2.10E+04
2108,Professional developer,Bachelor's degree,Computer science or software engineering,Never,"10,000 or more employees",Publicly-traded corporation,8 to 9 years,4 to 5 years,8,8,Spaces,Notepad++; Sublime Text; Vim; Visual Studio,NA,Male,A bachelor's degree,East Asian,1.05E+05
2112,Professional developer,Bachelor's degree,Computer science or software engineering,About half the time,"10,000 or more employees",Publicly-traded corporation,4 to 5 years,3 to 4 years,5,2,Tabs,Notepad++; Sublime Text; Eclipse,Waterfall,Male,A bachelor's degree,White or of European descent,61800
2119,Professional developer,Some college/university study without earning a bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",12 to 13 years,3 to 4 years,7,7,Spaces,Android Studio; Eclipse; IntelliJ; PHPStorm; PyCharm; Xcode,NA,Male,A bachelor's degree,White or of European descent,5.50E+04
2131,Professional developer,Bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,100 to 499 employees,Publicly-traded corporation,12 to 13 years,4 to 5 years,8,8,Both,Notepad++; IntelliJ,Agile,Male,A bachelor's degree,Hispanic or Latino/Latina,7.50E+04
2136,Professional developer,Some college/university study without earning a bachelor's degree,Computer science or software engineering,Never,100 to 499 employees,Publicly-traded corporation,20 or more years,17 to 18 years,10,10,Spaces,Vim; Android Studio; Visual Studio; Xcode,NA,Male,A professional degree,White or of European descent,7.00E+04
2139,Professional developer,Master's degree,A business discipline,All or almost all the time (I'm full-time remote),"1,000 to 4,999 employees",Publicly-traded corporation,17 to 18 years,7 to 8 years,9,9,Spaces,PyCharm; Visual Studio; Visual Studio Code,Agile; Scrum; Domain-driven design,Male,A bachelor's degree,White or of European descent,1.85E+05
2144,Professional developer,Bachelor's degree,Computer engineering or electrical/electronics engineering,Never,"5,000 to 9,999 employees",Publicly-traded corporation,6 to 7 years,2 to 3 years,7,7,Tabs,Vim,NA,Male,A master's degree,East Asian,1.20E+05
2150,Professional developer,Bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",20 or more years,17 to 18 years,8,3,Spaces,Vim; Visual Studio; Xcode,NA,Male,A master's degree,White or of European descent,1.68E+05
2152,Professional developer,Some college/university study without earning a bachelor's degree,Computer science or software engineering,A few days each month,"1,000 to 4,999 employees",Non-profit/non-governmental organization or private school/university,20 or more years,14 to 15 years,6,6,Tabs,Notepad++; IntelliJ; Visual Studio,Waterfall; Agile; Scrum,Male,A bachelor's degree,White or of European descent,1.02E+05
2156,Professional developer,Bachelor's degree,Computer science or software engineering,Never,500 to 999 employees,Venture-funded startup,4 to 5 years,Less than a year,9,9,Tabs,Sublime Text; IntelliJ; PyCharm,Agile; Scrum; Pair; Kanban,NA,NA,NA,1.10E+05
2173,Professional developer,Bachelor's degree,Computer engineering or electrical/electronics engineering,Never,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",11 to 12 years,5 to 6 years,8,9,Both,IntelliJ; Xcode,Agile; Scrum,Male,A doctoral degree,White or of European descent,106984
2174,Professional developer,Some college/university study without earning a bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",17 to 18 years,4 to 5 years,10,10,Spaces,Notepad++; Sublime Text; Visual Studio,Agile; Scrum; Pair; Kanban,Male,"Some college/university study, no bachelor's degree",Hispanic or Latino/Latina; White or of European descent,9.00E+04
2177,Professional developer,Bachelor's degree,Computer science or software engineering,Never,500 to 999 employees,"Privately-held limited company, not in startup mode",20 or more years,16 to 17 years,7,1,Tabs,Notepad++; Visual Studio; Visual Studio Code,Waterfall; Agile; Scrum; Pair; Kanban,Male,A professional degree,White or of European descent,1.45E+05
2208,Professional developer,Bachelor's degree,A humanities discipline,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",3 to 4 years,2 to 3 years,8,8,Both,Atom,Agile; Scrum; Pair,Male,A bachelor's degree,South Asian,8.00E+04
2212,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,"1,000 to 4,999 employees",Publicly-traded corporation,5 to 6 years,2 to 3 years,7,7,Spaces,Vim; IntelliJ,NA,Male,A bachelor's degree,"Native American, Pacific Islander, or Indigenous Australian",1.10E+05
2222,Professional developer,Master's degree,Mathematics or statistics,Never,100 to 499 employees,Government agency or public school/university,6 to 7 years,4 to 5 years,6,7,Spaces,Eclipse,Waterfall; Agile; Scrum; Pair,Male,A master's degree,White or of European descent,7.00E+04
2234,Professional developer,Bachelor's degree,Something else,It's complicated,20 to 99 employees,Something else,20 or more years,10 to 11 years,9,3,Tabs,Notepad++; IntelliJ; PyCharm; Visual Studio,NA,Male,A master's degree,White or of European descent,1.20E+05
2237,Professional developer,Master's degree,Computer science or software engineering,"More than half, but not all, the time",Fewer than 10 employees,"Sole proprietorship or partnership, not in startup mode",20 or more years,20 or more years,5,3,Tabs,Coda; Android Studio; Xcode,NA,Female,A bachelor's degree,White or of European descent,5.00E+04
2255,Professional developer,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week","10,000 or more employees",Publicly-traded corporation,17 to 18 years,9 to 10 years,8,5,Tabs,Visual Studio,NA,Male,A bachelor's degree,White or of European descent,1.05E+05
2258,Professional developer,Master's degree,A non-computer-focused engineering discipline,A few days each month,"1,000 to 4,999 employees",Publicly-traded corporation,6 to 7 years,3 to 4 years,9,10,Spaces,Sublime Text; Vim; IntelliJ,Waterfall; Agile; Scrum; Extreme; Pair,Male,A bachelor's degree,White or of European descent,9.20E+04
2264,Professional developer,Some college/university study without earning a bachelor's degree,Computer science or software engineering,A few days each month,"5,000 to 9,999 employees",Publicly-traded corporation,14 to 15 years,12 to 13 years,8,5,Spaces,Sublime Text; PHPStorm,Agile; Lean; Scrum; Pair; Kanban,Male,"Some college/university study, no bachelor's degree",White or of European descent,1.40E+05
2276,Professional developer,Bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),100 to 499 employees,"Sole proprietorship or partnership, not in startup mode",5 to 6 years,3 to 4 years,9,7,Both,Vim; NetBeans,Scrum,Male,"Some college/university study, no bachelor's degree",White or of European descent,7.00E+04
2296,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,"5,000 to 9,999 employees","Privately-held limited company, not in startup mode",9 to 10 years,3 to 4 years,9,7,Spaces,PyCharm; Visual Studio,NA,Male,A master's degree,White or of European descent,6.60E+04
2298,Professional developer,Bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,100 to 499 employees,Publicly-traded corporation,5 to 6 years,4 to 5 years,8,7,Tabs,Android Studio; Xcode,NA,Male,"Some college/university study, no bachelor's degree",White or of European descent,8.00E+04
2319,Professional developer,Bachelor's degree,Computer science or software engineering,Never,"10,000 or more employees",Publicly-traded corporation,9 to 10 years,4 to 5 years,9,8,Spaces,Visual Studio,NA,Male,A bachelor's degree,White or of European descent,1.20E+05
2324,Professional developer,Bachelor's degree,Computer science or software engineering,Never,"1,000 to 4,999 employees",Publicly-traded corporation,18 to 19 years,3 to 4 years,8,9,Tabs,Visual Studio,NA,Male,A master's degree,White or of European descent,8.50E+04
2325,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,Fewer than 10 employees,"Sole proprietorship or partnership, not in startup mode",13 to 14 years,4 to 5 years,8,8,Tabs,Atom; IntelliJ; Visual Studio; Xcode,NA,Male,A master's degree,White or of European descent,7.00E+04
2339,Professional developer,Bachelor's degree,Computer science or software engineering,Never,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",6 to 7 years,1 to 2 years,5,5,Tabs,Notepad++; Eclipse; IntelliJ; PyCharm,Agile; Pair,Male,"Some college/university study, no bachelor's degree",White or of European descent,7.00E+04
2345,Professional developer,Bachelor's degree,Computer science or software engineering,Never,100 to 499 employees,"Sole proprietorship or partnership, not in startup mode",6 to 7 years,3 to 4 years,7,7,Both,Notepad++; Visual Studio,Pair; Kanban; Domain-driven design,Male,High school,White or of European descent,57500
2349,Professional developer,Master's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,20 or more years,9 to 10 years,9,9,Spaces,Vim,NA,Male,A master's degree,White or of European descent,1.63E+05
2358,Professional developer,Bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),100 to 499 employees,Publicly-traded corporation,9 to 10 years,NA,9,7,Spaces,Vim; Visual Studio; Visual Studio Code,NA,Male,A bachelor's degree,White or of European descent,1.07E+05
2365,Professional developer,Doctoral degree,A natural science,A few days each month,"10,000 or more employees","Privately-held limited company, not in startup mode",14 to 15 years,4 to 5 years,7,7,Spaces,Sublime Text; Android Studio; IPython / Jupyter,NA,Male,A bachelor's degree,White or of European descent,1.56E+05
2371,Professional developer,Master's degree,Computer engineering or electrical/electronics engineering,A few days each month,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",20 or more years,14 to 15 years,8,8,Spaces,NA,Scrum; Kanban,NA,NA,NA,1.92E+05
2383,Professional developer,Bachelor's degree,Computer science or software engineering,It's complicated,100 to 499 employees,"Privately-held limited company, not in startup mode",11 to 12 years,6 to 7 years,8,9,Tabs,Atom; Notepad++; Vim; Eclipse,Waterfall; Agile; Lean; Scrum; Extreme; Pair; Kanban; Evidence-based SWE; Domain-driven design,Male,A master's degree,White or of European descent,1.00E+05
2399,Professional developer,Bachelor's degree,Computer science or software engineering,"More than half, but not all, the time","1,000 to 4,999 employees",Publicly-traded corporation,20 or more years,15 to 16 years,7,6,Spaces,Atom; Notepad++; Vim; Eclipse; IntelliJ,NA,Male,A master's degree,White or of European descent,1.15E+05
2406,Professional developer,Bachelor's degree,Something else,Never,10 to 19 employees,"Sole proprietorship or partnership, not in startup mode",3 to 4 years,1 to 2 years,4,2,Spaces,Sublime Text; PHPStorm,NA,Male,A bachelor's degree,White or of European descent,45600
2408,Professional developer,Master's degree,Computer engineering or electrical/electronics engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,4 to 5 years,3 to 4 years,10,9,Spaces,Notepad++; Vim; Eclipse; Visual Studio,Agile; Pair,Male,"Some college/university study, no bachelor's degree",White or of European descent,8.60E+04
2416,Professional developer,Bachelor's degree,Management information systems,A few days each month,"10,000 or more employees",Publicly-traded corporation,5 to 6 years,3 to 4 years,7,5,Both,Sublime Text; Visual Studio; Visual Studio Code,Agile,Male,A professional degree,White or of European descent,5.90E+04
2423,Professional developer,Some college/university study without earning a bachelor's degree,Computer science or software engineering,It's complicated,"10,000 or more employees",Publicly-traded corporation,17 to 18 years,12 to 13 years,6,7,Spaces,Vim; IntelliJ,Agile; Pair,Male,A master's degree,White or of European descent,1.06E+05
2427,Professional developer,Master's degree,A natural science,Never,"10,000 or more employees",Publicly-traded corporation,20 or more years,6 to 7 years,5,4,Spaces,Vim,NA,Male,A bachelor's degree,White or of European descent,7.10E+04
2430,Professional developer,Bachelor's degree,A business discipline,A few days each month,"5,000 to 9,999 employees",Publicly-traded corporation,4 to 5 years,Less than a year,9,8,Spaces,Sublime Text; Eclipse,NA,Male,A bachelor's degree,White or of European descent,6.50E+04
2464,Professional developer,Master's degree,Computer science or software engineering,Never,10 to 19 employees,"Privately-held limited company, not in startup mode",9 to 10 years,5 to 6 years,10,10,Tabs,Notepad++; Visual Studio,Agile; Pair,Male,A master's degree,White or of European descent,7.50E+04
2478,Professional developer,Master's degree,Computer engineering or electrical/electronics engineering,Never,10 to 19 employees,Venture-funded startup,9 to 10 years,8 to 9 years,8,8,Spaces,Sublime Text; Vim; Android Studio; IPython / Jupyter; PyCharm,NA,Male,A master's degree,White or of European descent,1.45E+05
2500,Professional developer,Bachelor's degree,Computer science or software engineering,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",7 to 8 years,3 to 4 years,8,9,Spaces,NA,NA,NA,NA,NA,1.20E+05
2504,Professional developer,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",20 to 99 employees,I don't know,6 to 7 years,4 to 5 years,6,8,Tabs,Sublime Text; PyCharm; Visual Studio,NA,Male,"Some college/university study, no bachelor's degree",NA,7.30E+04
2510,Professional developer,Bachelor's degree,A natural science,About half the time,"10,000 or more employees",Publicly-traded corporation,17 to 18 years,17 to 18 years,8,7,Tabs,Visual Studio; Visual Studio Code,Agile; Scrum; Domain-driven design,Male,A bachelor's degree,White or of European descent,1.30E+05
2514,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,Venture-funded startup,6 to 7 years,2 to 3 years,7,7,Spaces,Emacs,Agile; Pair; Kanban,Male,A master's degree,East Asian,1.05E+05
2518,Professional developer,Bachelor's degree,Something else,All or almost all the time (I'm full-time remote),"10,000 or more employees",Publicly-traded corporation,6 to 7 years,3 to 4 years,6,4,Tabs,Notepad++; Eclipse,NA,Male,A bachelor's degree,White or of European descent,7.00E+04
2520,Professional developer,Master's degree,Mathematics or statistics,A few days each month,100 to 499 employees,Non-profit/non-governmental organization or private school/university,13 to 14 years,8 to 9 years,7,7,Both,Atom; Visual Studio; Visual Studio Code,NA,Male,A bachelor's degree,White or of European descent,7.50E+04
2525,Professional developer,Bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",6 to 7 years,2 to 3 years,6,4,NA,NA,NA,NA,NA,NA,8.20E+04
2529,Professional developer,Bachelor's degree,Computer science or software engineering,It's complicated,"1,000 to 4,999 employees",Publicly-traded corporation,9 to 10 years,5 to 6 years,8,7,Spaces,Notepad++; Vim; Android Studio; IntelliJ; NetBeans; Visual Studio Code,NA,Male,A bachelor's degree,White or of European descent,93500
2530,Professional developer,Bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,"1,000 to 4,999 employees",Publicly-traded corporation,4 to 5 years,1 to 2 years,8,7,Tabs,Sublime Text; Vim,NA,Male,A bachelor's degree,White or of European descent,7.00E+04
2531,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,500 to 999 employees,"Privately-held limited company, not in startup mode",4 to 5 years,4 to 5 years,8,4,Tabs,Android Studio,NA,Female,"Some college/university study, no bachelor's degree",White or of European descent,1.04E+05
2538,Professional developer,Bachelor's degree,Computer science or software engineering,Never,"10,000 or more employees","Privately-held limited company, not in startup mode",10 to 11 years,7 to 8 years,9,9,Tabs,Sublime Text; PyCharm; Visual Studio,Waterfall; Agile; Scrum; Kanban; Domain-driven design,Male,A master's degree,White or of European descent,1.15E+05
2541,Professional developer,Bachelor's degree,Mathematics or statistics,"Less than half the time, but at least one day each week",500 to 999 employees,"Privately-held limited company, not in startup mode",20 or more years,16 to 17 years,7,7,Spaces,TextMate; PyCharm,Agile; Scrum; Pair,Male,"Some college/university study, no bachelor's degree",White or of European descent,1.30E+05
2560,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,5 to 6 years,2 to 3 years,7,6,Tabs,Notepad++; Sublime Text; Vim; Eclipse,Waterfall; Extreme; Pair,Male,A bachelor's degree,White or of European descent,5.00E+04
2563,Professional developer,Master's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,20 or more years,20 or more years,8,8,Spaces,Emacs; Eclipse; IPython / Jupyter,NA,Male,Primary/elementary school,White or of European descent,1.75E+05
2565,Professional developer,Bachelor's degree,Computer engineering or electrical/electronics engineering,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",6 to 7 years,2 to 3 years,7,7,Spaces,Notepad++; Vim; Android Studio; Visual Studio,Agile; Scrum; Pair; Kanban,Male,A doctoral degree,White or of European descent,82400
2572,Professional developer,Some college/university study without earning a bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",100 to 499 employees,Venture-funded startup,20 or more years,20 or more years,10,10,Spaces,Notepad++; Visual Studio; Visual Studio Code,NA,Male,A master's degree,South Asian; White or of European descent,1.72E+05
2574,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,I prefer not to answer,I prefer not to answer,10 to 11 years,7 to 8 years,6,6,Tabs,Android Studio; IntelliJ; Visual Studio,Waterfall; Scrum; Pair,Male,"Some college/university study, no bachelor's degree",White or of European descent,8.50E+04
2580,Professional developer,Bachelor's degree,A humanities discipline,A few days each month,10 to 19 employees,Venture-funded startup,14 to 15 years,14 to 15 years,7,8,Spaces,Vim; Xcode,Agile; Lean; Scrum; Extreme; Pair; Kanban; Domain-driven design,Male,A bachelor's degree,White or of European descent,1.40E+05
2581,Professional developer,Bachelor's degree,A non-computer-focused engineering discipline,"Less than half the time, but at least one day each week","10,000 or more employees","Privately-held limited company, not in startup mode",3 to 4 years,1 to 2 years,8,9,Tabs,Atom; Sublime Text; Vim; IPython / Jupyter; PyCharm,Scrum,Male,A bachelor's degree,White or of European descent,7.00E+04
2582,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,4 to 5 years,2 to 3 years,9,9,Spaces,Sublime Text; IntelliJ,Agile; Scrum,Male,A bachelor's degree,White or of European descent,1.32E+05
2586,Professional developer,Bachelor's degree,Computer programming or Web development,Never,"10,000 or more employees",Government agency or public school/university,3 to 4 years,2 to 3 years,6,3,Spaces,Sublime Text; PHPStorm; Visual Studio; Visual Studio Code,Agile,Male,A bachelor's degree,White or of European descent,5.00E+04
2587,Professional developer,Bachelor's degree,"Information technology, networking, or system administration",Never,"10,000 or more employees",Publicly-traded corporation,17 to 18 years,1 to 2 years,8,8,Both,NA,Waterfall,Male,A bachelor's degree,White or of European descent,51500
2589,Professional developer,Bachelor's degree,Computer science or software engineering,About half the time,"10,000 or more employees",Publicly-traded corporation,20 or more years,15 to 16 years,5,4,Spaces,Notepad++; Sublime Text; Visual Studio,Waterfall; Agile; Lean; Scrum; Kanban,Male,"Some college/university study, no bachelor's degree",White or of European descent,89550
2595,Professional developer,Master's degree,Computer science or software engineering,"Less than half the time, but at least one day each week","5,000 to 9,999 employees",Publicly-traded corporation,5 to 6 years,4 to 5 years,8,7,Tabs,Notepad++; Android Studio; IntelliJ,Agile; Pair; Kanban,Male,A master's degree,White or of European descent,8.00E+04
2605,Professional developer,Some college/university study without earning a bachelor's degree,Computer science or software engineering,Never,"10,000 or more employees",Publicly-traded corporation,20 or more years,20 or more years,8,8,Spaces,Notepad++; Visual Studio,Agile; Scrum,Male,I don't know/not sure,White or of European descent,1.80E+05
2608,Professional developer,Some college/university study without earning a bachelor's degree,A business discipline,A few days each month,500 to 999 employees,Venture-funded startup,20 or more years,9 to 10 years,7,4,Spaces,Atom; Sublime Text; Vim; Android Studio; Eclipse; Visual Studio; Xcode,NA,Male,High school,Middle Eastern,1.25E+05
